id,code,name,parent_id/id,active,reconcile,user_type/id,type,child_consol_ids/id,note
account.account_account_472000,472000,Comptes d'attente 2,account.account_account_47,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_473000,473000,Comptes d'attente 3,account.account_account_47,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_474000,474000,Comptes d'attente 4,account.account_account_47,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_475000,475000,Comptes d'attente 5,account.account_account_47,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_476,476,Différences de conversion - ACTIF,account.account_account_47,True,True,account.data_account_type_view,View,,
account.account_account_476100,476100,Diminution des créances,account.account_account_476,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_476200,476200,Augmentation des dettes,account.account_account_476,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_476800,476800,Différences compensées par couverture de change,account.account_account_476,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_477,477,Différences de conversion - PASSIF,account.account_account_47,True,True,account.data_account_type_view,View,,
account.account_account_477100,477100,Augmentation des créances,account.account_account_477,True,True,account.data_account_type_liability,Regular,,
account.account_account_477200,477200,Diminution des dettes,account.account_account_477,True,True,account.data_account_type_liability,Regular,,
account.account_account_477800,477800,Différences compensées par couverture de change,account.account_account_477,True,True,account.data_account_type_liability,Regular,,
account.account_account_478000,478000,Autres comptes transitoires,account.account_account_47,True,False,account.data_account_type_liability,Regular,,
account.account_account_48,48,Comptes de régularisation,account.account_account_Classe_4,True,False,account.data_account_type_view,View,,
account.account_account_481,481,Charges à répartir sur plusieurs exercices ,account.account_account_48,True,True,account.data_account_type_view,View,,
account.account_account_481600,481600,Frais d'émission des emprunts,account.account_account_481,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_486000,486000,Charges constatées d'avance,account.account_account_48,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_487000,487000,Produits constatés d'avance,account.account_account_48,True,True,account.data_account_type_liability,Regular,,
account.account_account_488,488,Comptes de répartition périodique des charges et des produits,account.account_account_48,True,False,account.data_account_type_view,View,,
account.account_account_488600,488600,Charges,account.account_account_488,True,True,account.data_account_type_liability,Regular,,
account.account_account_488700,488700,Produits,account.account_account_488,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_489000,489000,Quotas d'émission alloués par l'État,account.account_account_48,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_49,49,Dépréciations des comptes de tiers,account.account_account_Classe_4,True,False,account.data_account_type_view,View,,
account.account_account_491000,491000,Dépréciation des comptes de clients,account.account_account_49,True,True,account.data_account_type_liability,Regular,,
account.account_account_495,495,Dépréciation des comptes du groupe et des associés,account.account_account_49,True,True,account.data_account_type_view,View,,
account.account_account_495100,495100,Comptes du groupe,account.account_account_495,True,True,account.data_account_type_liability,Regular,,
account.account_account_495500,495500,Comptes courants des associés,account.account_account_495,True,True,account.data_account_type_liability,Regular,,
account.account_account_495800,495800,Opérations faites en commun et en GIE,account.account_account_495,True,True,account.data_account_type_liability,Regular,,
account.account_account_496,496,Dépréciations des comptes de débiteurs divers,account.account_account_49,True,True,account.data_account_type_view,View,,
account.account_account_496200,496200,Créances sur cessions d'immobilisations,account.account_account_496,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_496500,496500,Créances sur cessions de valeurs mobilières de placement,account.account_account_496,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_496700,496700,Autres comptes débiteurs,account.account_account_496,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_Classe_5,Classe 5,Comptes financiers,account.account_account_Classe_1_5,True,False,account.data_account_type_view,View,,
account.account_account_50,50,Valeurs mobilières de placement,account.account_account_Classe_5,True,False,account.data_account_type_view,View,,
account.account_account_501000,501000,Parts dans entreprises liées,account.account_account_50,True,False,account.data_account_type_cash,Regular,,
account.account_account_502000,502000,Actions propres,account.account_account_50,True,False,account.data_account_type_cash,Regular,,
